Date,Athlete,Event,Time: Athlete,Time: Best,Rank: Athlete,Time: Athlete Heat 1,Time: Best Heat 1,Split Time: Athlete Heat 1,Split Rank: Athlete Heat 1,Time: Athlete Heat 2,Time: Best Heat 2,Split Time: Athlete Heat 2,Split Rank: Athlete Heat 2,Time Delta: Best,Time Delta: Heat 1,Time Delta: Heat 2,Percentage Time Delta: Best,Percentage Time Delta: Heat 1,Percentage Time Delta: Heat 2,Competition ID
5/19/23,Athlete 2,Men's,342.36,334.17,10,171.48,166.32,14.7,3,170.88,167.85,14.76,2.0,8.19,5.16,3.03,2.45,3.1,1.81,1.0
5/19/23,Athlete 4,Men's,355.5,334.17,16,179.97,166.32,14.67,2,175.53,167.85,15.03,6.0,21.33,13.65,7.68,6.38,8.21,4.58,1.0
5/19/23,Athlete 7,Men's,340.11,334.17,3,170.01,166.32,15.03,10,170.1,167.85,15.06,7.0,5.94,3.69,2.25,1.78,2.22,1.34,1.0
5/20/23,Athlete 2,Men's,340.08,337.86,3,169.8,169.08,14.94,2,170.28,168.42,14.97,3.0,2.22,0.72,1.86,0.66,0.43,1.1,2.0
5/20/23,Athlete 4,Men's,351.51,337.86,14,174.24,169.08,14.97,3,177.27,168.42,15.18,9.0,13.65,5.16,8.85,4.04,3.05,5.25,2.0
5/20/23,Athlete 7,Men's,340.29,337.86,4,169.08,169.08,15.39,13,171.21,168.42,15.15,8.0,2.43,0.0,2.79,0.72,0.0,1.66,2.0
6/2/23,Athlete 2,Men's,331.05,322.53,11,166.08,160.92,14.22,9,164.97,161.52,13.95,2.0,8.52,5.16,3.45,2.64,3.21,2.14,11.0
6/2/23,Athlete 4,Men's,340.23,322.53,13,169.89,160.92,14.4,13,170.34,161.52,14.28,11.0,17.7,8.97,8.82,5.49,5.57,5.46,11.0
6/2/23,Athlete 5,Men's,197.61,192.87,20,98.85,96.36,12.93,11,98.76,96.39,12.81,6.0,4.74,2.49,2.37,2.46,2.58,2.46,9.0
6/2/23,Athlete 6,Women's,204.42,198.87,14,100.86,99.21,13.68,5,103.56,98.82,14.04,15.0,5.55,1.65,4.74,2.79,1.66,4.8,10.0
